省份,城市,城市代码,市辖区县,市辖区县代码,城镇,城镇代码
陕西省,商洛市,611000000000,山阳县,611024000000,王阎镇,611024118000
陕西省,商洛市,611000000000,山阳县,611024000000,法官镇,611024121000
陕西省,商洛市,611000000000,商南县,611023000000,城关街道,611023001000
陕西省,商洛市,611000000000,商南县,611023000000,富水镇,611023101000
陕西省,商洛市,611000000000,商南县,611023000000,湘河镇,611023102000
陕西省,商洛市,611000000000,商南县,611023000000,赵川镇,611023104000
陕西省,商洛市,611000000000,商南县,611023000000,过风楼镇,611023107000
陕西省,商洛市,611000000000,商南县,611023000000,试马镇,611023108000
陕西省,商洛市,611000000000,商南县,611023000000,清油河镇,611023109000
陕西省,商洛市,611000000000,商南县,611023000000,十里坪镇,611023110000
陕西省,商洛市,611000000000,商南县,611023000000,金丝峡镇,611023111000
陕西省,商洛市,611000000000,商南县,611023000000,青山镇,611023112000
陕西省,商洛市,611000000000,丹凤县,611022000000,龙驹寨街道,611022001000
陕西省,商洛市,611000000000,丹凤县,611022000000,庾岭镇,611022101000
陕西省,商洛市,611000000000,丹凤县,611022000000,蔡川镇,611022102000
陕西省,商洛市,611000000000,丹凤县,611022000000,峦庄镇,611022103000
陕西省,商洛市,611000000000,丹凤县,611022000000,铁峪铺镇,611022104000
陕西省,商洛市,611000000000,丹凤县,611022000000,武关镇,611022105000
陕西省,商洛市,611000000000,丹凤县,611022000000,竹林关镇,611022106000
陕西省,商洛市,611000000000,丹凤县,611022000000,土门镇,611022107000
陕西省,商洛市,611000000000,丹凤县,611022000000,寺坪镇,611022108000
陕西省,商洛市,611000000000,丹凤县,611022000000,商镇,611022109000
陕西省,商洛市,611000000000,丹凤县,611022000000,棣花镇,611022110000
陕西省,商洛市,611000000000,丹凤县,611022000000,花瓶子镇,611022115000
陕西省,商洛市,611000000000,洛南县,611021000000,城关街道,611021001000
陕西省,商洛市,611000000000,洛南县,611021000000,四皓街道,611021002000
陕西省,商洛市,611000000000,洛南县,611021000000,景村镇,611021101000
陕西省,商洛市,611000000000,洛南县,611021000000,古城镇,611021102000
陕西省,商洛市,611000000000,洛南县,611021000000,三要镇,611021103000
陕西省,商洛市,611000000000,洛南县,611021000000,灵口镇,611021104000
陕西省,商洛市,611000000000,洛南县,611021000000,寺耳镇,611021106000
陕西省,商洛市,611000000000,洛南县,611021000000,巡检镇,611021107000
陕西省,商洛市,611000000000,洛南县,611021000000,石坡镇,611021108000
陕西省,商洛市,611000000000,洛南县,611021000000,石门镇,611021109000
陕西省,商洛市,611000000000,洛南县,611021000000,麻坪镇,611021110000
陕西省,商洛市,611000000000,洛南县,611021000000,洛源镇,611021111000
陕西省,商洛市,611000000000,洛南县,611021000000,保安镇,611021112000
陕西省,商洛市,611000000000,洛南县,611021000000,永丰镇,611021114000
陕西省,商洛市,611000000000,洛南县,611021000000,柏峪寺镇,611021117000
陕西省,商洛市,611000000000,洛南县,611021000000,高耀镇,611021118000
陕西省,商洛市,611000000000,商州区,611002000000,城关街道,611002001000
陕西省,商洛市,611000000000,商州区,611002000000,大赵峪街道,611002002000
陕西省,商洛市,611000000000,商州区,611002000000,陈塬街道,611002003000
陕西省,商洛市,611000000000,商州区,611002000000,刘湾街道,611002004000
陕西省,商洛市,611000000000,商州区,611002000000,夜村镇,611002101000
陕西省,商洛市,611000000000,商州区,611002000000,沙河子镇,611002104000
陕西省,商洛市,611000000000,商州区,611002000000,杨峪河镇,611002105000
陕西省,商洛市,611000000000,商州区,611002000000,金陵寺镇,611002106000
陕西省,商洛市,611000000000,商州区,611002000000,黑山镇,611002107000
陕西省,商洛市,611000000000,商州区,611002000000,杨斜镇,611002108000
陕西省,商洛市,611000000000,商州区,611002000000,麻街镇,611002109000
陕西省,商洛市,611000000000,商州区,611002000000,牧护关镇,611002111000
陕西省,商洛市,611000000000,商州区,611002000000,大荆镇,611002112000
陕西省,商洛市,611000000000,商州区,611002000000,腰市镇,611002113000
陕西省,商洛市,611000000000,商州区,611002000000,板桥镇,611002114000
陕西省,商洛市,611000000000,商州区,611002000000,北宽坪镇,611002115000
陕西省,商洛市,611000000000,商州区,611002000000,三岔河镇,611002119000
陕西省,商洛市,611000000000,商州区,611002000000,闫村镇,611002121000
陕西省,商洛市,611000000000,商州区,611002000000,二龙山水库,611002400000
